day_of_month,day_of_week,op_unique_carrier,origin_city_name,origin_state_abr,dest_city_name,dest_state_abr,crs_dep_time,dep_delay,crs_arr_time,arr_delay,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
28,5,DL,"Detroit, MI",MI,"Chicago, IL",IL,850,39.0,928,15.0,98.0,74.0,46.0,235.0,15.0,0.0,0.0,0.0,0.0
16,7,YX,"Portland, ME",ME,"Newark, NJ",NJ,1821,124.0,2008,150.0,107.0,133.0,57.0,284.0,0.0,0.0,34.0,0.0,116.0
20,4,OO,"Oklahoma City, OK",OK,"Chicago, IL",IL,1430,0.0,1648,21.0,138.0,159.0,129.0,693.0,21.0,0.0,0.0,0.0,0.0
23,7,OO,"Flint, MI",MI,"Chicago, IL",IL,1641,92.0,1658,120.0,77.0,105.0,58.0,223.0,120.0,0.0,0.0,0.0,0.0
3,1,WN,"Las Vegas, NV",NV,"Albuquerque, NM",NM,1335,18.0,1600,21.0,85.0,88.0,58.0,486.0,0.0,0.0,3.0,0.0,18.0
20,4,AA,"Dallas/Fort Worth, TX",TX,"Greer, SC",SC,1218,35.0,1530,102.0,132.0,199.0,109.0,862.0,8.0,0.0,67.0,0.0,27.0
6,4,DL,"St. Louis, MO",MO,"Minneapolis, MN",MN,1300,47.0,1435,32.0,95.0,80.0,67.0,448.0,0.0,0.0,0.0,0.0,32.0
27,4,OO,"Los Angeles, CA",CA,"Las Vegas, NV",NV,730,47.0,850,58.0,80.0,91.0,47.0,236.0,58.0,0.0,0.0,0.0,0.0
26,3,WN,"San Diego, CA",CA,"Kansas City, MO",MO,620,5.0,1125,16.0,185.0,196.0,174.0,1334.0,0.0,0.0,16.0,0.0,0.0
30,7,NK,"New York, NY",NY,"Myrtle Beach, SC",SC,1259,-2.0,1500,31.0,121.0,154.0,101.0,563.0,0.0,0.0,31.0,0.0,0.0
