date,station_name,degrees_from_mean,longitude,latitude,max_temp,min_temp,type
2013-05-05,BALMORHEA,-9.06,-103.7403,30.9844,25.6,4.4,Weak Cold
2013-12-05,MARIANNA 2 S,13.14,-90.7664,34.7392,24.4,7.2,Weak Hot
2013-01-24,OGDENSBURG 4 NE,-15.51,-75.4442,44.7281,-18.9,-26.1,Weak Cold
2013-09-04,CROWLEY 2 NE,4.57,-92.3478,30.2408,35.6,21.7,Weak Hot
2013-09-04,HALF MOON BAY,5.49,-122.4433,37.4725,21.7,16.1,Weak Hot
2013-08-06,PEARCE - SUNSITES,-7.19,-109.8378,31.9356,25.6,15.6,Weak Cold
2013-07-16,SALISBURY WICOMICO RGNL AP,6.1,-75.5103,38.3406,35.0,25.6,Weak Hot
2013-11-24,DESERT NWR,-12.56,-115.36,36.4381,6.7,3.9,Weak Cold
2013-11-26,RUTLAND,-14.72,-72.9781,43.6253,-0.6,-16.1,Weak Cold
2013-04-11,BAY MINETTE,8.08,-87.7853,30.8839,27.8,21.1,Weak Hot
2013-01-14,CARLSBAD CAVERN CITY AP,-15.38,-104.2581,32.3336,-1.1,-6.1,Weak Cold
2013-07-03,SULPHUR SPRINGS,-8.03,-95.6269,33.1481,31.1,13.9,Weak Cold
2013-10-25,BUTLER 4W,-11.65,-94.405,38.2611,11.1,-4.4,Weak Cold
2013-05-02,STRATFORD,-27.07,-102.0753,36.3372,8.9,-1.7,Strong Cold
2013-05-21,FINDLAY AP,11.13,-83.6686,41.0136,30.6,21.1,Weak Hot
2013-06-09,TRACY PUMPING PLT,11.43,-121.5828,37.7967,41.7,17.8,Weak Hot
2013-01-12,STAMBAUGH 2SSE,31.06,-88.6275,46.0556,6.7,0.6,Strong Hot
2013-07-28,WHITE HALL 1 E,-17.02,-90.3789,39.4411,22.2,10.0,Strong Cold
2013-01-14,FLEMINGTON 5 NNW,13.01,-74.8831,40.5631,8.3,5.6,Weak Hot
2013-04-03,BEREA COLLEGE,-11.7,-84.2908,37.5733,10.6,-3.9,Weak Cold
2013-05-31,PITTSFIELD MUNI AP,11.9,-73.2892,42.4272,31.1,15.0,Weak Hot
2013-05-05,DILLINGER,-8.7,-105.1175,44.0992,18.3,-5.0,Weak Cold
2013-12-07,TIFTON,9.4,-83.4767,31.4461,26.1,15.6,Weak Hot
2013-12-24,WATERLOO MUNI AP,-18.9,-92.4011,42.5544,-11.6,-29.3,Weak Cold
2013-10-04,MANSFIELD LAHM MUNI AP,12.43,-82.5178,40.8203,26.1,18.3,Weak Hot
2013-05-02,VERMILLION 2 SE,-12.42,-96.9194,42.7625,11.1,1.1,Weak Cold
2013-08-20,GRATON,4.78,-122.8647,38.4306,30.6,13.9,Weak Hot
2013-11-25,VICTORIA RGNL AP,-16.68,-96.9303,28.8614,6.7,4.4,Weak Cold
2013-01-30,HAMLET,32.75,-79.6922,34.8872,25.6,17.2,Strong Hot
2013-09-12,SANFORD 2 NNW,10.37,-70.7803,43.4569,33.3,17.8,Weak Hot
2013-11-25,WESTCHESTER CO AP,-19.4,-73.7075,41.0669,0.6,-6.6,Strong Cold
